AnoParalisacao,DataParalisacao,TipoEnte,Ente,Nome,FuncaoGoverno,NumeroContrato,CNPJContratada,NomeContratada,TipoUnidade,ValorTotalContrato,ValorPagoObra,TempoParalizacao,MotivoParalisacao,DataInicioObra,StatusContrato,ClassificacaoObra,FontePrincipalRecursos,TipoParalisacao,DataUltimaAtualizacao,fonte
2020,2020-12-01T00:00:00.000,Municipal,NITEROI,PREFEITURA NITEROI,URBANISMO,083/2020,30598395000137,CONTEK COM. E SERV. DE INSTALAÇÃO DE EQUIPAMENTOS EIRELI,PREFEITURA,210057.45,105028.73,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2020-11-01T00:00:00.000,VIGENTE,MOBILIDADE URBANA – VIAS URBANAS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-06-01T00:00:00.000,Municipal,QUISSAMA,FUNDO MUN SAÚDE QUISSAMÃ,SAÚDE,194/2018,15286425000186,Pector Engenharia Eireli,FUNDO,408517.82,159911.41,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2019-04-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-09-01T00:00:00.000,Municipal,TANGUA,PREFEITURA TANGUA,SANEAMENTO,082/2017,14180324000163,FP Vieira Engenharia Ltda,PREFEITURA,620299.4,549749.98,ACIMA DE 2 ANOS,"CASO FORTUITO OU FORÇA MAIOR, RISCOS DECORRENTES DE ERROS E VÍCIOS CONSTRUTIVOS",2017-10-31T00:00:00.000,VIGENTE,INFRAESTRUTURA URBANA – URBANIZAÇÃO,CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-07-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,URBANISMO,04/SMO/19,27009252000138,GUARÁ COMERCIO E SERVIÇOS DE TERRAPLANAGENS E CONS,PREFEITURA,5317317.48,2470772.72,ACIMA DE 2 ANOS,FATORES VINCULADOS À CONTRATADA,2019-11-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-03-01T00:00:00.000,Municipal,RESENDE,PREFEITURA RESENDE,SAÚDE,261/2018,35873827000194,GHN CONSTRUTORA E ENGENHARIA LTDA,PREFEITURA,1207127.19,1077771.73,ACIMA DE 2 ANOS,OUTRO,2018-12-31T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-07-01T00:00:00.000,Municipal,QUEIMADOS,PREFEITURA QUEIMADOS,SANEAMENTO,02/2014,03611715000179,Granrio Engenharia LTDA,PREFEITURA,3425427.75,966355.06,ACIMA DE 2 ANOS,"REPASSE DE CONVÊNIOS - ATRASO, SOLICITAÇÃO DE RESCISÃO CONTRATUAL",2014-06-01T00:00:00.000,RESCINDIDO,"ESGOTAMENTO SANITÁRIO – REDE COLETORA, ESTAÇÕES DE TRATAMENTO E SIMILARES",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-07-01T00:00:00.000,Municipal,QUEIMADOS,PREFEITURA QUEIMADOS,URBANISMO,03/2014,03611715000179,Granrio Engenharia LTDA,PREFEITURA,1483517.83,748662.66,ACIMA DE 2 ANOS,"REPASSE DE CONVÊNIOS - ATRASO, SOLICITAÇÃO DE RESCISÃO CONTRATUAL",2014-06-01T00:00:00.000,RESCINDIDO,"ESGOTAMENTO SANITÁRIO – REDE COLETORA, ESTAÇÕES DE TRATAMENTO E SIMILARES",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-10-01T00:00:00.000,Municipal,QUEIMADOS,PREFEITURA QUEIMADOS,DESPORTO E LAZER,03/2019,07289593000105,EJC Construções LTDA,PREFEITURA,1730426.53,0.01,ACIMA DE 2 ANOS,"CASO FORTUITO OU FORÇA MAIOR, CONTINGENCIAMENTO DE RECURSOS PRÓPRIOS, DECISÃO JUDICIAL, TRIBUNAL DE CONTAS OU SIMILARES, REPASSE DE CONVÊNIOS - SUSPENSÃO",2019-06-01T00:00:00.000,RESCINDIDO,"EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS, EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES), INFRAESTRUTURA TURÍSTICA",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-10-01T00:00:00.000,Municipal,QUEIMADOS,PREFEITURA QUEIMADOS,DESPORTO E LAZER,01/2019,07289593000105,EJC Construções LTDA,PREFEITURA,1473181.37,512678.93,ACIMA DE 2 ANOS,"DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS, FATORES VINCULADOS À CONTRATADA",2019-06-01T00:00:00.000,PRAZO EXPIRADO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-09-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,DESPORTO E LAZER,22/SMO/20,32080550000154,N C CONSTRUÇÕES E SERVIÇOS EIRELI,PREFEITURA,1403484.58,864349.93,ACIMA DE 2 ANOS,FATORES VINCULADOS À CONTRATADA,2020-06-01T00:00:00.000,PRAZO EXPIRADO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-12-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,DESPORTO E LAZER,285/SMO/20,32080550000154,N C CONSTRUÇÕES E SERVIÇOS EIRELI,PREFEITURA,3123146.74,1460917.55,ACIMA DE 2 ANOS,FATORES VINCULADOS À CONTRATADA,2020-06-01T00:00:00.000,PRAZO EXPIRADO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-04-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,DESPORTO E LAZER,09/SMO/20,20684331000103,"REESOLVE CONSTRUÇÃO, REPAROS E REFORMA LTDA",PREFEITURA,253322.01,233816.16,ACIMA DE 2 ANOS,QUESTÕES TÉCNICAS QUE VIERAM A SER CONHECIDAS SOMENTE APÓS A LICITAÇÃO,2020-03-01T00:00:00.000,PRAZO EXPIRADO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-11-01T00:00:00.000,Municipal,MENDES,PREFEITURA MENDES,SAÚDE,015/2015,17213210000160,MDM LOCAÇÕES E COMÉRCIO – EIRELI - EPP,PREFEITURA,475788.93,337764.72,ACIMA DE 2 ANOS,"CASO FORTUITO OU FORÇA MAIOR, REPASSE DE CONVÊNIOS - ATRASO",2016-03-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-12-01T00:00:00.000,Municipal,BOM JESUS DO ITABAPOANA,PREFEITURA BOM JESUS DO ITABAPOANA,SANEAMENTO,025/2020,08060614000170,DEIFERSON CONSTRUTORA LTDA,PREFEITURA,4680206.29,1727694.4,ACIMA DE 2 ANOS,DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS,2020-06-01T00:00:00.000,PRAZO EXPIRADO,"ABASTECIMENTO DE ÁGUA – CAPTAÇÃO, ADUÇÃO, TRATAMENTO E SIMILARES",CONVÊNIO FEDERAL,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-12-01T00:00:00.000,Municipal,MIGUEL PEREIRA,FUNDO MUN SAUDE MIGUEL PEREIRA,SAÚDE,051/2020,09540426000102,TORRES ARQUITETOS ASSOCIADOS LTDA - EPP,FUNDO,429190.09,92863.19,ACIMA DE 2 ANOS,SOLICITAÇÃO DE REAJUSTE OU REEQUILÍBRIO,2020-08-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-10-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,EDUCAÇÃO,01/SEPE/20,29328576000164,CHARRIOT CONSTRUÇÕES EIRELI - EPP,PREFEITURA,1095615.82,718884.6,ACIMA DE 2 ANOS,FATORES VINCULADOS À CONTRATADA,2020-02-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-07-01T00:00:00.000,Municipal,NITEROI,PREFEITURA NITEROI,EDUCAÇÃO,0057/2020,01047682000150,MORENO PERLINGEIRO ENGENHARIA LTDA,PREFEITURA,12927743.32,0.01,ACIMA DE 2 ANOS,"DECISÃO JUDICIAL, TRIBUNAL DE CONTAS OU SIMILARES",2020-06-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,DETERMINADA PELO PODER JUDICIÁRIO,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-06-01T00:00:00.000,Municipal,NITEROI,PREFEITURA NITEROI,EDUCAÇÃO,052/2020,31548811000155,VETORIAL SERVIÇOS TÉCNICOS LTDA EPP,PREFEITURA,9818723.29,0.01,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2020-06-01T00:00:00.000,PRAZO EXPIRADO,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-12-01T00:00:00.000,Municipal,SAPUCAIA,PREFEITURA SAPUCAIA,URBANISMO,31/2020,16686189000158,"MICROMILS CONSTRUÇÃO, MANUTENÇÃO E REPAROS LTDA",PREFEITURA,1081150.02,787136.83,ACIMA DE 2 ANOS,"INADEQUAÇÃO AO PLANO DE TRABALHO DA NOVA GESTÃO, QUESTÕES TÉCNICAS QUE VIERAM A SER CONHECIDAS SOMENTE APÓS A LICITAÇÃO",2020-10-01T00:00:00.000,PRAZO EXPIRADO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES), INFRAESTRUTURA URBANA – URBANIZAÇÃO",PRÓPRIO DO ENTE,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-02-01T00:00:00.000,Municipal,ARRAIAL DO CABO,PREFEITURA ARRAIAL DO CABO,EDUCAÇÃO,031/2019,28931898000130,"ILUMICITY SERVIÇOS DE CONSTRUÇÃO, CONSERVAÇÃO, ELETRICIDADE E SOLUÇÕES DIGITAIS LTDA",PREFEITURA,954317.42,676856.02,ACIMA DE 2 ANOS,DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS,2019-03-01T00:00:00.000,PRAZO EXPIRADO,"CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO, EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-10-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,DESPORTO E LAZER,23/SMO/20,32080550000154,N C CONSTRUÇÕES E SERVIÇOS EIRELI,PREFEITURA,1352744.8,1110057.22,ACIMA DE 2 ANOS,CASO FORTUITO OU FORÇA MAIOR,2020-06-01T00:00:00.000,VIGENTE,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-05-01T00:00:00.000,Municipal,ARMACAO DOS BUZIOS,PREFEITURA ARMAÇÃO DOS BÚZIOS,EDUCAÇÃO,17/2014,13231982000174,ESPIRITO SANTO CONSTRUTORA E SERVIÇO EIRELI EPP,PREFEITURA,596660.3,295034.48,ACIMA DE 2 ANOS,DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS,2015-06-01T00:00:00.000,RESCINDIDO,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2020,2020-03-01T00:00:00.000,Municipal,ARMACAO DOS BUZIOS,PREFEITURA ARMAÇÃO DOS BÚZIOS,DESPORTO E LAZER,039/2014,10530789000146,CONSTRUTORA LMS LTDA ME,PREFEITURA,1535017.71,1249162.17,ACIMA DE 2 ANOS,REPASSE DE CONVÊNIOS - ATRASO,2014-06-01T00:00:00.000,PRAZO EXPIRADO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",CONVÊNIO ESTADUAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-07-01T00:00:00.000,Municipal,ITATIAIA,PREFEITURA ITATIAIA,DESPORTO E LAZER,087/2020,09005255000111,Abade Franco Construção civil LTDA - ME,PREFEITURA,517030.81,257861.14,ACIMA DE 2 ANOS,"FATORES VINCULADOS À CONTRATADA, SOLICITAÇÃO DE REAJUSTE OU REEQUILÍBRIO",2015-06-01T00:00:00.000,PRAZO EXPIRADO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-08-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,DESPORTO E LAZER,29/SMO/20,24099778000168,CMG REFORMAS,PREFEITURA,533591.0,412956.32,ACIMA DE 2 ANOS,FATORES VINCULADOS À CONTRATADA,2020-07-01T00:00:00.000,VIGENTE,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-03-01T00:00:00.000,Municipal,ARRAIAL DO CABO,PREFEITURA ARRAIAL DO CABO,SAÚDE,009/2020,19644182000161,M.A.F. DO NAZARETH INCORPORAÇÃO E CONSTRUÇÃO EIRELI,PREFEITURA,3259153.43,1596553.11,ACIMA DE 2 ANOS,DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS,2020-03-01T00:00:00.000,RESCINDIDO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-01-01T00:00:00.000,Municipal,ARRAIAL DO CABO,PREFEITURA ARRAIAL DO CABO,SAÚDE,012/2020,30920877000161,ATLANTIC CONSTRUTORA EIRELI,PREFEITURA,1186528.64,1045235.75,ACIMA DE 2 ANOS,DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS,2020-06-01T00:00:00.000,RESCINDIDO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-11-01T00:00:00.000,Municipal,QUISSAMA,PREFEITURA QUISSAMA,EDUCAÇÃO,154/2021,10970850000176,ADEMACK EMPREENDIMENTOS COMERCIAIS EIRELI,PREFEITURA,511803.53,396089.93,ACIMA DE 2 ANOS,CASO FORTUITO OU FORÇA MAIOR,2021-09-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-12-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,ASSISTÊNCIA SOCIAL,02/SMO/21,24099778000168,"CMG REFORMAS, COMERCIO, SERV E EQUIPAMENTOS EIRELI",PREFEITURA,334719.73,110915.47,ACIMA DE 2 ANOS,FATORES VINCULADOS À CONTRATADA,2021-04-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-10-01T00:00:00.000,Municipal,PETROPOLIS,PREFEITURA PETROPOLIS,SAÚDE,14/2021,12631258000175,Infra Construção de Edifícios ltda,PREFEITURA,475042.46,153027.35,ACIMA DE 2 ANOS,OUTRO,2021-06-01T00:00:00.000,VIGENTE,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-07-01T00:00:00.000,Municipal,SILVA JARDIM,PREFEITURA SILVA JARDIM,URBANISMO,10.22.001,21921210000192,MARTINS DA COSTA E SOUZA CONSTRUÇÕES LTDA,PREFEITURA,212022.75,115931.26,ACIMA DE 2 ANOS,OUTRO,2020-12-01T00:00:00.000,PRAZO EXPIRADO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-11-01T00:00:00.000,Municipal,SILVA JARDIM,PREFEITURA SILVA JARDIM,URBANISMO,06.22.003,22476982000125,CONSTRUTORA SERGIO PORTO LTDA ME,PREFEITURA,485830.31,99485.96,ACIMA DE 2 ANOS,INADEQUAÇÃO AO PLANO DE TRABALHO DA NOVA GESTÃO,2020-07-01T00:00:00.000,VIGENTE,INFRAESTRUTURA TURÍSTICA,CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-07-01T00:00:00.000,Municipal,ITATIAIA,PREFEITURA ITATIAIA,EDUCAÇÃO,204/2019,25103905000118,Premium Comércio Corporativo e Serviços Eireli ME,PREFEITURA,1131511.52,662441.05,ACIMA DE 2 ANOS,SOLICITAÇÃO DE RESCISÃO CONTRATUAL,2019-08-01T00:00:00.000,PRAZO EXPIRADO,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-02-01T00:00:00.000,Municipal,ITATIAIA,FUNDO MUNICIPAL DE SAÚDE DE ITATIAIA,SAÚDE,256/2019,19823656000132,Irmãos Vasconcelos LTDA EPP,FUNDO,3028832.21,1229748.73,ACIMA DE 2 ANOS,SOLICITAÇÃO DE RESCISÃO CONTRATUAL,2019-10-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-02-01T00:00:00.000,Municipal,ITATIAIA,FUNDO MUNICIPAL DE SAÚDE DE ITATIAIA,SAÚDE,254/2019,10476365000140,Marprado Construção Civil LTDA EPP,FUNDO,732449.24,157280.67,ACIMA DE 2 ANOS,SOLICITAÇÃO DE REAJUSTE OU REEQUILÍBRIO,2019-10-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-01-01T00:00:00.000,Municipal,ITATIAIA,FUNDO MUNICIPAL DE SAÚDE DE ITATIAIA,SAÚDE,255/2019,09052198000121,Marprado Construção Civil LTDA EPP,FUNDO,739749.18,105997.08,ACIMA DE 2 ANOS,"IRREGULARIDADES NOS PREÇOS E SERVIÇOS CONTRATADOS, PROJETO BÁSICO/EXECUTIVO DEFICIENTE",2019-10-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",CONVÊNIO FEDERAL,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-07-01T00:00:00.000,Municipal,ITABORAI,PREFEITURA ITABORAI,URBANISMO,33/2020,27698089000168,ZOE EMPREENDIMENTOS EIRELI,PREFEITURA,525842.01,444501.08,ACIMA DE 2 ANOS,"PENDÊNCIAS COM CAIXA ECONÔMICA OU SIMILARES, REPASSE DE CONVÊNIOS - ATRASO, REPASSE DE CONVÊNIOS - SUSPENSÃO",2021-03-01T00:00:00.000,PRAZO EXPIRADO,INFRAESTRUTURA URBANA – URBANIZAÇÃO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-02-01T00:00:00.000,Municipal,CAMPOS DOS GOYTACAZES,FUNDO MUN SAUDE CAMPOS DOS GOYTACAZES,SAÚDE,068/2013,05293658000152,Lapa Construtora Eireli EPP,FUNDO,1225488.44,858662.86,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2013-05-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-04-01T00:00:00.000,Municipal,SAO PEDRO DA ALDEIA,PREFEITURA SAO PEDRO DA ALDEIA,DESPORTO E LAZER,94/2015,07667635000196,R. A DE ALMEIDA AMARAL SERVIÇOS E CONSTRUÇÕES LTDA,PREFEITURA,222371.86,1190781.0,ACIMA DE 2 ANOS,"DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS, IRREGULARIDADES NOS PREÇOS E SERVIÇOS CONTRATADOS",2015-01-31T00:00:00.000,RESCINDIDO,INFRAESTRUTURA URBANA – URBANIZAÇÃO,CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-01-01T00:00:00.000,Municipal,SAO PEDRO DA ALDEIA,PREFEITURA SAO PEDRO DA ALDEIA,EDUCAÇÃO,71/2018,29390929000156,ADALEX CONSTRUÇÕES EIRELI,PREFEITURA,2338393.55,1313073.81,ACIMA DE 2 ANOS,QUESTÕES TÉCNICAS QUE VIERAM A SER CONHECIDAS SOMENTE APÓS A LICITAÇÃO,2018-10-01T00:00:00.000,VIGENTE,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-05-01T00:00:00.000,Municipal,BARRA DO PIRAI,PREFEITURA BARRA DO PIRAI,DESPORTO E LAZER,85/2019,05123076000128,CSM Construções LTDA,PREFEITURA,326761.07,139136.04,ACIMA DE 2 ANOS,DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS,2019-11-01T00:00:00.000,PRAZO EXPIRADO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",CONVÊNIO FEDERAL,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-10-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,URBANISMO,59/SMO/21,40179834000120,CONSTRUTORA AYLA EIRELI,PREFEITURA,1003284.53,927991.08,ACIMA DE 2 ANOS,FATORES VINCULADOS À CONTRATADA,2021-10-01T00:00:00.000,VIGENTE,INFRAESTRUTURA URBANA – URBANIZAÇÃO,PRÓPRIO DO ENTE,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-04-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,DESPORTO E LAZER,01/SMO/21,18962994000192,AMANI CONSTRUÇÕES E SERVIÇOS LTDA,PREFEITURA,220707.1,0.01,ACIMA DE 2 ANOS,CASO FORTUITO OU FORÇA MAIOR,2021-03-01T00:00:00.000,VIGENTE,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-11-01T00:00:00.000,Municipal,DUQUE DE CAXIAS,PREFEITURA DUQUE DE CAXIAS,EDUCAÇÃO,050092018,18463305000103,GEO AMBIENTAL EMPREENDIMENTOS LTDA-ME,PREFEITURA,13765340.0,2852589.3,ACIMA DE 2 ANOS,"PENDÊNCIAS COM CAIXA ECONÔMICA OU SIMILARES, REPASSE DE CONVÊNIOS - ATRASO",2018-03-01T00:00:00.000,VIGENTE,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2021,2021-12-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,EDUCAÇÃO,30/SMO/21,26111887000189,"RSM MATERIAIS, SERVIÇOS E CONSTRUÇÕES EIRELI",PREFEITURA,3948107.33,984104.56,ACIMA DE 2 ANOS,QUESTÕES TÉCNICAS QUE VIERAM A SER CONHECIDAS SOMENTE APÓS A LICITAÇÃO,2021-07-01T00:00:00.000,VIGENTE,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",PRÓPRIO DO ENTE,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
